name,win,linux,mac,author,description
Reminiscence in the Night,t,t,t,Team SolEtude,Everything stays but it still changes
Schildmaid MX,t,t,t,HitP Studio,Neutral. Shield. Danger.
Magic & Misdeeds,f,f,f,Scholastic Dragon,GM-less game about magicians who commit a wide range of crime
Bumbling,f,f,f,Button Kin Games,A solo RPG about bees
Lost To The Starlit Reptiles,f,f,f,JimmyShelter,A pamphlet hexcrawl adventure
The Mole on PIRAD ONE - a corporate horror adventure for Mothership,f,f,f,Christian Sorrell,Stop (and survive) a corporate mole hidden on a space punk commune in this Mothership adventure pamphlet!!
Landlord of the Woods,t,f,t,madison karrh,"A hand-drawn, physics-based point & click game about feeling like you're being behind all of your peers"
Hiding Spot,t,f,t,Corey Martin,A difficult puzzle game about isolating yourself.
Plunge,t,f,t,SpookyBunsGames,Turn-Based Dungeon Plunger!
JRNL,t,f,f,Blarfnip,A Simple Journaling Software for Keeping Track of Daily Thoughts
Clam Man,t,t,t,Marafrass,50% Man. 50% Clam. 100% sort of funny.
RISE: A Game of Spreading Evil,f,f,f,BlackwellWriter,A Solo Dungeon Drawing Game
Magnibox,t,f,t,Joseph Gribbin,A puzzle game about magnets designed for human brains.
Ultra Hat Dimension,t,t,t,Eniko,"Solve puzzles using hats, get punched!"
Hero Hours Contract,t,f,f,Steve O'Gorman,"Magical girls are real, but the pay sucks! Join the Union of Magical Girls."
/dia,f,f,f,tim zee,a solo lyric game.
A Snake's Tale,t,t,t,m12y,A puzzle game about snakes in cramped places
Rebop Blasters,t,t,t,dean_sick,An overpowered platform fighter with destructible terrain and a procedurally generated jazz soundtrack.
SOLAS 128,t,f,f,Armor Games Studios,Reconfigure rhythmic pulses of light to breathe life back into an ancient machine
little boats of farewell,t,t,t,npckc,say goodbye to whatever you want to leave behind this year.
Behind the Masc,f,f,f,Thoughty by Beau JÃ¡gr Sheldon,collection of game materials and art that reenvision masculinity
Sidewords,t,f,f,Milkbag Games,Grab a cup of coffee and relax with a good puzzle
Throw Cubes into Brick Towers To Collapse Them,t,f,f,nothke,
BOTOLO,t,f,t,Auren Snyder,a fast paced two-player mind sport
10mg: Sealed Estate,t,f,f,Salman Shurie (Salman_Shh),10min light horror
